"Story","Title","Result","Date","Stability","Duration (s)"
"Validacion de redireccion de prepararse para aplicar","Redireccion de Que es ser choucair","SUCCESS","2021-07-30T20:07:28.356-05:00[America/Bogota]","0.0","97.42"
"Validacion de redireccion de que es ser coucair","Redireccion de Que es ser choucair","SUCCESS","2021-07-30T20:09:08.884-05:00[America/Bogota]","0.0","54.48"
